iter	CrossEntropy	Accuracy
0	0.6659823706	0.9027064063
1	0.6405578919	0.9027064063
2	0.6175952412	0.9027064063
3	0.5957691872	0.9027064063
4	0.5753977292	0.9027064063
5	0.5566161701	0.9027064063
6	0.5390071824	0.9027064063
7	0.523282402	0.9027064063
8	0.5078731227	0.9027064063
9	0.4942583568	0.9027064063
10	0.4817198209	0.9027064063
11	0.4701478029	0.9027064063
12	0.4589231972	0.9027064063
13	0.4487878331	0.9027064063
14	0.4394817882	0.9027064063
15	0.4297545586	0.9027064063
16	0.4214324708	0.9027064063
17	0.4141087196	0.9027064063
18	0.4072672413	0.9027064063
19	0.4005292562	0.9027064063
20	0.3946042796	0.9027064063
21	0.388582688	0.9027064063
22	0.3832020793	0.9027064063
23	0.3783827391	0.9027064063
24	0.3735161889	0.9027064063
25	0.3693655657	0.9027064063
26	0.3654389735	0.9027064063
27	0.3615552982	0.9027064063
28	0.3580022036	0.9027064063
29	0.3543966699	0.9027064063
30	0.3511687648	0.9027064063
31	0.3480313423	0.9027064063
32	0.3455761411	0.9027064063
33	0.3433082165	0.9027064063
34	0.3405097998	0.9027064063
35	0.3382170715	0.9027064063
36	0.336203146	0.9027064063
37	0.3341666035	0.9027064063
38	0.3324830565	0.9027064063
39	0.3308526929	0.9027064063
40	0.3292916637	0.9027064063
41	0.3278053819	0.9027064063
42	0.3261657622	0.9027064063
43	0.3248787984	0.9027064063
44	0.3233453197	0.9027064063
45	0.3222140832	0.9027064063
46	0.3208568544	0.9027064063
47	0.3196304046	0.9027064063
48	0.3186704445	0.9027064063
49	0.3174356818	0.9027064063
50	0.3164985771	0.9027064063
51	0.3154912492	0.9027064063
52	0.3146420073	0.9027064063
53	0.3139497092	0.9027064063
54	0.3133422584	0.9027064063
55	0.3125126159	0.9027064063
56	0.311922128	0.9027064063
57	0.3111900856	0.9027064063
58	0.3106373357	0.9027064063
59	0.3099090946	0.9027064063
60	0.3092748022	0.9027064063
61	0.3086159038	0.9027064063
62	0.3081742593	0.9027064063
63	0.3073849234	0.9027064063
64	0.3069737545	0.9027064063
65	0.3066172381	0.9027064063
66	0.3061270202	0.9027064063
67	0.3056198803	0.9027064063
68	0.3051017767	0.9027064063
69	0.3044529273	0.9027064063
70	0.304019169	0.9027064063
71	0.3034135992	0.9027064063
72	0.3030527093	0.9027064063
73	0.3027174437	0.9027064063
74	0.3024279561	0.9027064063
75	0.3020213747	0.9027064063
76	0.3016066498	0.9027064063
77	0.3013099726	0.9027064063
78	0.300899307	0.9027064063
79	0.3004685159	0.9027064063
80	0.3002172299	0.9027064063
81	0.299944366	0.9027064063
82	0.2995665776	0.9027064063
83	0.2993015923	0.9027064063
84	0.298882648	0.9027064063
85	0.2986351385	0.9027064063
86	0.2983862976	0.9027064063
87	0.2980170665	0.9027064063
88	0.2977402765	0.9027064063
89	0.2974953246	0.9027064063
90	0.2973102365	0.9027064063
91	0.2969955765	0.9027064063
92	0.296736772	0.9027064063
93	0.2965637338	0.9027064063
94	0.2963404931	0.9027064063
95	0.2961521449	0.9027064063
96	0.2958792108	0.9027064063
97	0.2956808544	0.9027064063
98	0.2954238564	0.9027064063
99	0.2951342478	0.9027064063
100	0.294886677	0.9027064063
101	0.2946644377	0.9027064063
102	0.2942808396	0.9027064063
103	0.2940045815	0.9027064063
104	0.2938677481	0.9027064063
105	0.2935676085	0.9027064063
106	0.2931512833	0.9027064063
107	0.2929200163	0.9027064063
108	0.2926363081	0.9027064063
109	0.292516731	0.9027064063
110	0.2922954943	0.9027064063
111	0.2921320465	0.9027064063
112	0.2919453918	0.9027064063
113	0.2918264981	0.9027064063
114	0.2915484672	0.9027064063
115	0.2913737619	0.9027064063
116	0.2912517677	0.9027064063
117	0.2911090516	0.9027064063
118	0.2908785705	0.9027064063
119	0.2906675708	0.9027064063
120	0.2905567541	0.9027064063
121	0.2903137985	0.9027064063
122	0.2901787911	0.9027064063
123	0.2900386331	0.9027064063
