iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN	Accuracy_SumError	Accuracy_SumWeight
0	0	0	0	1136	0	0	1136	10540	11676
1	0	0	0	1136	0	0	1136	10540	11676
2	0	0	0	1136	0	0	1136	10540	11676
3	0	0	0	1136	0	0	1136	10540	11676
4	0	0	0	1136	0	0	1136	10540	11676
5	0	0	0	1136	0	0	1136	10540	11676
6	0	0	0	1136	0	0	1136	10540	11676
7	0	0	0	1136	0	0	1136	10540	11676
8	0	0	0	1136	0	0	1136	10540	11676
9	0	0	0	1136	0	0	1136	10540	11676
10	0	0	0	1136	0	0	1136	10540	11676
11	0	0	0	1136	0	0	1136	10540	11676
12	0	0	0	1136	0	0	1136	10540	11676
13	0	0	0	1136	0	0	1136	10540	11676
14	0	0	0	1136	0	0	1136	10540	11676
15	0	0	0	1136	0	0	1136	10540	11676
16	0	0	0	1136	0	0	1136	10540	11676
17	0	0	0	1136	0	0	1136	10540	11676
18	0	0	0	1136	0	0	1136	10540	11676
19	0	0	0	1136	0	0	1136	10540	11676
20	0	0	0	1136	0	0	1136	10540	11676
21	0	0	0	1136	0	0	1136	10540	11676
22	0	0	0	1136	0	0	1136	10540	11676
23	0	0	0	1136	0	0	1136	10540	11676
24	0	0	0	1136	0	0	1136	10540	11676
25	0	0	0	1136	0	0	1136	10540	11676
26	0	0	0	1136	0	0	1136	10540	11676
27	0	0	0	1136	0	0	1136	10540	11676
28	0	0	0	1136	0	0	1136	10540	11676
29	0	0	0	1136	0	0	1136	10540	11676
30	0	0	0	1136	0	0	1136	10540	11676
31	0	0	0	1136	0	0	1136	10540	11676
32	0	0	0	1136	0	0	1136	10540	11676
33	0	0	0	1136	0	0	1136	10540	11676
34	0	0	0	1136	0	0	1136	10540	11676
35	0	0	0	1136	0	0	1136	10540	11676
36	0	0	0	1136	0	0	1136	10540	11676
37	0	0	0	1136	0	0	1136	10540	11676
38	0	0	0	1136	0	0	1136	10540	11676
39	0	0	0	1136	0	0	1136	10540	11676
40	0	0	0	1136	0	0	1136	10540	11676
41	0	0	0	1136	0	0	1136	10540	11676
42	0	0	0	1136	0	0	1136	10540	11676
43	0	0	0	1136	0	0	1136	10540	11676
44	0	0	0	1136	0	0	1136	10540	11676
45	0	0	0	1136	0	0	1136	10540	11676
46	0	0	0	1136	0	0	1136	10540	11676
47	0	0	0	1136	0	0	1136	10540	11676
48	0	0	0	1136	0	0	1136	10540	11676
49	0	0	0	1136	0	0	1136	10540	11676
50	0	0	0	1136	0	0	1136	10540	11676
51	0	0	0	1136	0	0	1136	10540	11676
52	0	0	0	1136	0	0	1136	10540	11676
53	0	0	0	1136	0	0	1136	10540	11676
54	0	0	0	1136	0	0	1136	10540	11676
55	0	0	0	1136	0	0	1136	10540	11676
56	0	0	0	1136	0	0	1136	10540	11676
57	0	0	0	1136	0	0	1136	10540	11676
58	0	0	0	1136	0	0	1136	10540	11676
59	0	0	0	1136	0	0	1136	10540	11676
60	0	0	0	1136	0	0	1136	10540	11676
61	0	0	0	1136	0	0	1136	10540	11676
62	0	0	0	1136	0	0	1136	10540	11676
63	0	0	0	1136	0	0	1136	10540	11676
64	0	0	0	1136	0	0	1136	10540	11676
65	0	0	0	1136	0	0	1136	10540	11676
66	0	0	0	1136	0	0	1136	10540	11676
67	0	0	0	1136	0	0	1136	10540	11676
68	0	0	0	1136	0	0	1136	10540	11676
69	0	0	0	1136	0	0	1136	10540	11676
70	0	0	0	1136	0	0	1136	10540	11676
71	0	0	0	1136	0	0	1136	10540	11676
72	0	0	0	1136	0	0	1136	10540	11676
73	0	0	0	1136	0	0	1136	10540	11676
74	0	0	0	1136	0	0	1136	10540	11676
75	0	0	0	1136	0	0	1136	10540	11676
76	0	0	0	1136	0	0	1136	10540	11676
77	0	0	0	1136	0	0	1136	10540	11676
78	0	0	0	1136	0	0	1136	10540	11676
79	0	0	0	1136	0	0	1136	10540	11676
80	0	0	0	1136	0	0	1136	10540	11676
81	0	0	0	1136	0	0	1136	10540	11676
82	0	0	0	1136	0	0	1136	10540	11676
83	0	0	0	1136	0	0	1136	10540	11676
84	0	0	0	1136	0	0	1136	10540	11676
85	0	0	0	1136	0	0	1136	10540	11676
86	0	0	0	1136	0	0	1136	10540	11676
87	0	0	0	1136	0	0	1136	10540	11676
88	0	0	0	1136	0	0	1136	10540	11676
89	0	0	0	1136	0	0	1136	10540	11676
90	0	0	0	1136	0	0	1136	10540	11676
91	0	0	0	1136	0	0	1136	10540	11676
92	0	0	0	1136	0	0	1136	10540	11676
93	0	0	0	1136	0	0	1136	10540	11676
94	0	0	0	1136	0	0	1136	10540	11676
95	0	0	0	1136	0	0	1136	10540	11676
96	0	0	0	1136	0	0	1136	10540	11676
97	0	0	0	1136	0	0	1136	10540	11676
98	0	0	0	1136	0	0	1136	10540	11676
99	0	0	0	1136	0	0	1136	10540	11676
100	0	0	0	1136	0	0	1136	10540	11676
101	0	0	0	1136	0	0	1136	10540	11676
102	0	0	0	1136	0	0	1136	10540	11676
103	0	0	0	1136	0	0	1136	10540	11676
104	0	0	0	1136	0	0	1136	10540	11676
105	0	0	0	1136	0	0	1136	10540	11676
106	0	0	0	1136	0	0	1136	10540	11676
107	0	0	0	1136	0	0	1136	10540	11676
108	0	0	0	1136	0	0	1136	10540	11676
109	0	0	0	1136	0	0	1136	10540	11676
110	0	0	0	1136	0	0	1136	10540	11676
111	0	0	0	1136	0	0	1136	10540	11676
112	0	0	0	1136	0	0	1136	10540	11676
113	0	0	0	1136	0	0	1136	10540	11676
114	0	0	0	1136	0	0	1136	10540	11676
115	0	0	0	1136	0	0	1136	10540	11676
116	0	0	0	1136	0	0	1136	10540	11676
117	0	0	0	1136	0	0	1136	10540	11676
118	0	0	0	1136	0	0	1136	10540	11676
119	0	0	0	1136	0	0	1136	10540	11676
120	0	0	0	1136	0	0	1136	10540	11676
121	0	0	0	1136	0	0	1136	10540	11676
122	0	0	0	1136	0	0	1136	10540	11676
123	0	0	0	1136	0	0	1136	10540	11676
124	0	0	0	1136	0	0	1136	10540	11676
125	0	0	0	1136	0	0	1136	10540	11676
126	0	0	0	1136	0	0	1136	10540	11676
127	0	0	0	1136	0	0	1136	10540	11676
128	0	0	0	1136	0	0	1136	10540	11676
129	0	0	0	1136	0	0	1136	10540	11676
130	0	0	0	1136	0	0	1136	10540	11676
131	0	0	0	1136	0	0	1136	10540	11676
132	0	0	0	1136	0	0	1136	10540	11676
133	0	0	0	1136	0	0	1136	10540	11676
134	0	0	0	1136	0	0	1136	10540	11676
135	0	0	0	1136	0	0	1136	10540	11676
136	0	0	0	1136	0	0	1136	10540	11676
137	0	0	0	1136	0	0	1136	10540	11676
138	0	0	0	1136	0	0	1136	10540	11676
139	0	0	0	1136	0	0	1136	10540	11676
140	0	0	0	1136	0	0	1136	10540	11676
141	0	0	0	1136	0	0	1136	10540	11676
142	0	0	0	1136	0	0	1136	10540	11676
143	0	0	0	1136	0	0	1136	10540	11676
144	0	0	0	1136	0	0	1136	10540	11676
145	0	0	0	1136	0	0	1136	10540	11676
146	0	0	0	1136	0	0	1136	10540	11676
147	0	0	0	1136	0	0	1136	10540	11676
148	0	0	0	1136	0	0	1136	10540	11676
149	0	0	0	1136	0	0	1136	10540	11676
150	0	0	0	1136	0	0	1136	10540	11676
151	0	0	0	1136	0	0	1136	10540	11676
152	0	0	0	1136	0	0	1136	10540	11676
153	0	0	0	1136	0	0	1136	10540	11676
154	0	0	0	1136	0	0	1136	10540	11676
155	0	0	0	1136	0	0	1136	10540	11676
156	0	0	0	1136	0	0	1136	10540	11676
157	0	0	0	1136	0	0	1136	10540	11676
158	1	1	1	1136	1	1	1136	10541	11676
159	1	1	1	1136	1	1	1136	10541	11676
160	1	1	1	1136	1	1	1136	10541	11676
161	1	1	1	1136	1	1	1136	10541	11676
162	1	1	1	1136	1	1	1136	10541	11676
163	3	3	3	1136	3	3	1136	10543	11676
164	3	3	3	1136	3	3	1136	10543	11676
165	3	3	3	1136	3	3	1136	10543	11676
166	3	3	3	1136	3	3	1136	10543	11676
167	3	3	3	1136	3	3	1136	10543	11676
168	3	3	3	1136	3	3	1136	10543	11676
169	3	3	3	1136	3	3	1136	10543	11676
170	3	3	3	1136	3	3	1136	10543	11676
171	3	3	3	1136	3	3	1136	10543	11676
172	3	3	3	1136	3	3	1136	10543	11676
173	3	3	3	1136	3	3	1136	10543	11676
174	4	4	4	1136	4	4	1136	10544	11676
175	4	5	4	1136	4	5	1136	10543	11676
176	4	5	4	1136	4	5	1136	10543	11676
177	5	6	5	1136	5	6	1136	10544	11676
178	5	6	5	1136	5	6	1136	10544	11676
179	6	7	6	1136	6	7	1136	10545	11676
180	6	7	6	1136	6	7	1136	10545	11676
181	6	7	6	1136	6	7	1136	10545	11676
182	6	7	6	1136	6	7	1136	10545	11676
183	7	9	7	1136	7	9	1136	10545	11676
184	7	9	7	1136	7	9	1136	10545	11676
185	7	9	7	1136	7	9	1136	10545	11676
186	7	9	7	1136	7	9	1136	10545	11676
187	7	9	7	1136	7	9	1136	10545	11676
188	7	9	7	1136	7	9	1136	10545	11676
189	7	9	7	1136	7	9	1136	10545	11676
190	7	9	7	1136	7	9	1136	10545	11676
191	6	8	6	1136	6	8	1136	10544	11676
192	6	8	6	1136	6	8	1136	10544	11676
193	7	9	7	1136	7	9	1136	10545	11676
194	7	9	7	1136	7	9	1136	10545	11676
195	7	9	7	1136	7	9	1136	10545	11676
196	7	9	7	1136	7	9	1136	10545	11676
197	7	9	7	1136	7	9	1136	10545	11676
198	7	9	7	1136	7	9	1136	10545	11676
199	7	9	7	1136	7	9	1136	10545	11676
200	7	9	7	1136	7	9	1136	10545	11676
201	7	9	7	1136	7	9	1136	10545	11676
202	7	9	7	1136	7	9	1136	10545	11676
203	9	11	9	1136	9	11	1136	10547	11676
204	8	10	8	1136	8	10	1136	10546	11676
