iter	Passed	Remaining
0	25	25757
1	34	17115
2	42	14266
3	50	12670
4	58	11699
5	66	11037
6	74	10541
7	81	10161
8	89	9884
9	97	9650
10	105	9450
11	112	9291
12	120	9141
13	128	9021
14	135	8921
15	143	8834
16	151	8743
17	158	8661
18	166	8604
19	174	8547
20	182	8488
21	189	8436
22	197	8400
23	205	8353
24	212	8306
25	221	8300
26	230	8294
27	238	8274
28	246	8250
29	254	8227
30	262	8200
31	270	8170
32	277	8137
33	285	8112
34	293	8095
35	301	8076
36	309	8048
37	316	8019
38	324	7993
39	332	7972
40	339	7946
41	347	7922
42	355	7901
43	362	7880
44	370	7862
45	378	7843
46	385	7813
47	393	7796
48	400	7782
49	408	7760
50	416	7753
51	425	7750
52	433	7740
53	440	7725
54	449	7715
55	457	7714
56	465	7708
57	474	7698
58	481	7685
59	489	7672
60	497	7661
61	505	7648
62	513	7635
63	521	7621
64	528	7609
65	536	7598
66	544	7586
67	552	7573
68	560	7557
69	567	7543
70	575	7529
71	583	7516
72	591	7505
73	599	7499
74	607	7495
75	615	7485
76	624	7480
77	632	7472
78	640	7464
79	648	7452
80	655	7442
81	663	7428
82	671	7417
83	679	7405
84	687	7395
85	694	7381
86	702	7370
87	710	7359
88	717	7348
89	725	7336
90	733	7324
91	740	7312
92	748	7301
93	756	7288
94	763	7277
95	771	7267
96	779	7255
97	787	7252
98	796	7247
99	804	7243
100	813	7237
101	821	7230
102	829	7222
103	837	7219
104	845	7207
105	853	7197
106	861	7186
107	869	7178
108	877	7171
109	884	7160
110	892	7151
111	900	7139
112	907	7126
113	915	7118
114	923	7106
115	931	7095
116	939	7087
117	946	7075
118	954	7066
119	962	7055
120	969	7045
121	978	7041
122	992	7078
123	1002	7080
124	1011	7078
125	1019	7074
126	1028	7067
127	1036	7060
128	1045	7057
129	1053	7052
130	1062	7047
131	1071	7043
132	1080	7040
133	1088	7034
134	1096	7028
135	1105	7020
136	1113	7013
137	1121	7007
138	1129	6997
139	1137	6989
140	1145	6978
141	1153	6968
142	1160	6957
143	1168	6947
144	1176	6937
145	1185	6933
146	1194	6929
147	1202	6923
148	1215	6941
149	1224	6936
150	1232	6932
151	1241	6926
152	1249	6918
153	1257	6910
154	1266	6902
155	1274	6894
156	1282	6885
157	1291	6880
158	1299	6872
159	1307	6865
160	1315	6857
161	1323	6848
162	1332	6840
163	1340	6832
164	1348	6823
165	1356	6815
166	1365	6808
167	1373	6802
168	1381	6795
169	1389	6785
170	1397	6775
171	1405	6765
172	1413	6756
173	1421	6749
174	1430	6743
175	1439	6738
176	1447	6732
177	1456	6727
178	1465	6720
179	1473	6714
180	1482	6707
181	1490	6699
182	1498	6690
183	1506	6681
184	1514	6672
185	1522	6662
186	1530	6653
187	1538	6643
188	1547	6638
189	1555	6631
190	1563	6624
191	1572	6617
192	1580	6609
193	1589	6602
194	1597	6594
195	1605	6585
196	1613	6575
197	1621	6568
198	1629	6559
199	1638	6552
200	1646	6543
201	1654	6534
202	1662	6525
203	1669	6516
204	1678	6508
205	1686	6500
206	1694	6492
207	1703	6486
208	1711	6478
209	1719	6470
210	1728	6461
211	1736	6454
212	1745	6447
213	1753	6440
214	1761	6430
215	1768	6420
216	1776	6410
217	1784	6401
218	1792	6391
219	1800	6382
220	1807	6372
221	1815	6362
222	1823	6353
223	1831	6343
224	1838	6333
225	1846	6323
226	1854	6313
227	1861	6303
228	1869	6293
229	1877	6284
230	1884	6273
231	1892	6264
232	1900	6255
233	1908	6247
234	1917	6242
235	1926	6236
236	1934	6227
237	1942	6219
238	1950	6210
239	1957	6200
240	1965	6190
241	1973	6180
242	1981	6174
243	1997	6188
244	2004	6177
245	2012	6168
246	2020	6158
247	2027	6149
248	2035	6139
249	2043	6129
250	2050	6120
251	2059	6111
252	2066	6102
253	2074	6092
254	2082	6082
255	2089	6073
256	2098	6066
257	2107	6060
258	2115	6051
259	2123	6044
260	2131	6035
261	2139	6026
262	2147	6016
263	2154	6007
264	2162	5998
265	2169	5987
266	2177	5978
267	2185	5969
268	2192	5959
269	2200	5950
270	2208	5941
271	2216	5931
272	2223	5921
273	2231	5912
274	2239	5902
275	2246	5893
276	2254	5885
277	2262	5875
278	2270	5866
279	2277	5857
280	2286	5850
281	2294	5842
282	2302	5833
283	2310	5825
284	2318	5815
285	2325	5806
286	2333	5797
287	2341	5788
288	2349	5779
289	2356	5770
290	2364	5760
291	2372	5751
292	2379	5742
293	2387	5733
294	2395	5724
295	2404	5717
296	2412	5710
297	2420	5703
298	2429	5695
299	2437	5688
300	2446	5681
301	2455	5675
302	2463	5667
303	2472	5660
304	2480	5652
305	2488	5644
306	2496	5635
307	2504	5626
308	2512	5617
309	2519	5608
310	2527	5599
311	2536	5592
312	2544	5584
313	2552	5575
314	2559	5565
315	2567	5556
316	2574	5547
317	2582	5538
318	2590	5529
319	2597	5520
320	2605	5511
321	2613	5502
322	2620	5493
323	2628	5484
324	2636	5475
325	2644	5467
326	2652	5458
327	2659	5449
328	2668	5442
329	2677	5436
330	2685	5427
331	2693	5419
332	2701	5411
333	2709	5402
334	2717	5393
335	2725	5385
336	2733	5377
337	2741	5368
338	2748	5359
339	2756	5351
340	2764	5342
341	2772	5333
342	2780	5325
343	2788	5316
344	2795	5308
345	2803	5299
346	2811	5290
347	2819	5281
348	2826	5273
349	2834	5264
350	2842	5255
351	2851	5248
352	2859	5241
353	2868	5234
354	2875	5225
355	2884	5217
356	2892	5209
357	2900	5201
358	2908	5192
359	2915	5183
360	2923	5175
361	2931	5167
362	2939	5158
363	2947	5150
364	2956	5142
365	2964	5135
366	2972	5127
367	2981	5119
368	3000	5130
369	3007	5121
370	3016	5113
371	3024	5105
372	3032	5098
373	3041	5091
374	3049	5083
375	3057	5074
376	3065	5066
377	3073	5057
378	3080	5048
379	3088	5039
380	3096	5030
381	3104	5021
382	3111	5012
383	3119	5004
384	3127	4995
385	3134	4986
386	3142	4977
387	3150	4968
388	3157	4959
389	3165	4950
390	3172	4941
391	3180	4933
392	3188	4923
393	3195	4915
394	3203	4906
395	3211	4897
396	3220	4890
397	3229	4884
398	3237	4875
399	3245	4867
400	3252	4859
401	3260	4850
402	3268	4841
403	3276	4833
404	3283	4824
405	3291	4815
406	3298	4806
407	3306	4797
408	3314	4789
409	3322	4780
410	3329	4771
411	3337	4763
412	3345	4754
413	3352	4746
414	3361	4738
415	3369	4729
416	3376	4720
417	3384	4712
418	3392	4704
419	3401	4696
420	3409	4689
421	3417	4681
422	3426	4673
423	3433	4664
424	3442	4656
425	3450	4648
426	3458	4640
427	3466	4633
428	3474	4624
429	3482	4616
430	3490	4607
431	3498	4599
432	3506	4591
433	3513	4582
434	3521	4573
435	3529	4565
436	3536	4556
437	3544	4547
438	3552	4539
439	3559	4530
440	3566	4521
441	3574	4512
442	3582	4504
443	3591	4497
444	3599	4489
445	3607	4480
446	3614	4472
447	3622	4463
448	3630	4455
449	3638	4446
450	3645	4437
451	3653	4429
452	3660	4420
453	3668	4411
454	3676	4403
455	3683	4394
456	3691	4386
457	3699	4377
458	3706	4368
459	3714	4360
460	3722	4351
461	3729	4343
462	3737	4334
463	3745	4326
464	3752	4317
465	3760	4309
466	3768	4301
467	3777	4294
468	3785	4286
469	3793	4278
470	3801	4269
471	3809	4261
472	3817	4252
473	3824	4244
474	3832	4235
475	3839	4227
476	3847	4218
477	3855	4209
478	3862	4201
479	3870	4193
480	3878	4185
481	3886	4176
482	3894	4168
483	3902	4160
484	3910	4152
485	3918	4144
486	3926	4136
487	3934	4127
488	3941	4119
489	3950	4111
490	3958	4104
491	3966	4095
492	3974	4087
493	3982	4079
494	4002	4083
495	4010	4075
496	4018	4066
497	4025	4058
498	4033	4050
499	4041	4041
500	4049	4033
501	4057	4025
502	4065	4016
503	4072	4008
504	4080	3999
505	4088	3991
506	4095	3982
507	4103	3974
508	4110	3965
509	4118	3956
510	4125	3948
511	4134	3940
512	4143	3933
513	4150	3924
514	4158	3916
515	4166	3907
516	4173	3898
517	4181	3890
518	4189	3882
519	4197	3874
520	4205	3866
521	4212	3857
522	4220	3849
523	4228	3841
524	4236	3833
525	4244	3824
526	4251	3816
527	4259	3807
528	4267	3799
529	4274	3790
530	4282	3782
531	4290	3773
532	4297	3765
533	4305	3757
534	4313	3748
535	4321	3741
536	4329	3733
537	4337	3724
538	4345	3716
539	4353	3708
540	4361	3700
541	4369	3692
542	4377	3684
543	4385	3675
544	4393	3667
545	4401	3659
546	4409	3651
547	4417	3643
548	4426	3635
549	4434	3628
550	4442	3620
551	4450	3612
552	4459	3604
553	4467	3596
554	4475	3588
555	4483	3580
556	4491	3572
557	4498	3563
558	4507	3555
559	4515	3547
560	4523	3539
561	4531	3531
562	4538	3523
563	4546	3514
564	4553	3506
565	4561	3497
566	4568	3489
567	4576	3480
568	4583	3472
569	4591	3463
570	4599	3455
571	4607	3447
572	4615	3439
573	4622	3430
574	4630	3422
575	4638	3414
576	4645	3405
577	4653	3397
578	4661	3389
579	4668	3380
580	4676	3372
581	4684	3364
582	4691	3355
583	4700	3348
584	4708	3340
585	4716	3332
586	4724	3324
587	4732	3316
588	4740	3307
589	4748	3299
590	4756	3291
591	4763	3283
592	4771	3274
593	4779	3266
594	4786	3258
595	4794	3250
596	4802	3241
597	4810	3233
598	4818	3225
599	4826	3217
600	4833	3209
601	4841	3200
602	4849	3192
603	4857	3184
604	4865	3176
605	4873	3168
606	4880	3160
607	4889	3152
608	4897	3144
609	4905	3136
610	4913	3128
611	4921	3120
612	4929	3112
613	4937	3104
614	4945	3096
615	4954	3088
616	4963	3081
617	4971	3073
618	4979	3065
619	4988	3057
620	4999	3051
621	5031	3057
622	5039	3049
623	5048	3042
624	5057	3034
625	5065	3026
626	5074	3018
627	5082	3010
628	5090	3002
629	5098	2994
630	5106	2985
631	5114	2977
632	5122	2969
633	5131	2962
634	5139	2954
635	5148	2946
636	5157	2939
637	5166	2931
638	5175	2923
639	5199	2924
640	5208	2917
641	5217	2909
642	5225	2901
643	5233	2892
644	5240	2884
645	5248	2876
646	5256	2867
647	5264	2859
648	5272	2851
649	5281	2843
650	5289	2835
651	5297	2827
652	5305	2819
653	5313	2811
654	5322	2803
655	5330	2795
656	5338	2786
657	5346	2778
658	5354	2770
659	5361	2762
660	5369	2754
661	5377	2745
662	5385	2737
663	5393	2729
664	5401	2721
665	5409	2712
666	5417	2704
667	5425	2696
668	5433	2688
669	5441	2680
670	5449	2672
671	5457	2663
672	5465	2655
673	5473	2647
674	5482	2639
675	5490	2631
676	5498	2623
677	5506	2615
678	5514	2606
679	5522	2598
680	5530	2590
681	5539	2583
682	5548	2575
683	5556	2567
684	5564	2558
685	5573	2550
686	5581	2543
687	5589	2534
688	5598	2527
689	5606	2519
690	5615	2511
691	5623	2502
692	5631	2494
693	5639	2486
694	5647	2478
695	5655	2470
696	5664	2462
697	5671	2454
698	5680	2446
699	5688	2437
700	5696	2429
701	5704	2421
702	5712	2413
703	5721	2405
704	5729	2397
705	5737	2389
706	5746	2381
707	5754	2373
708	5762	2364
709	5770	2356
710	5777	2348
711	5785	2340
712	5793	2332
713	5801	2323
714	5809	2315
715	5816	2307
716	5825	2299
717	5833	2290
718	5840	2282
719	5849	2274
720	5857	2266
721	5865	2258
722	5873	2250
723	5881	2242
724	5889	2233
725	5897	2225
726	5904	2217
727	5912	2209
728	5920	2201
729	5928	2192
730	5937	2184
731	5945	2176
732	5953	2168
733	5961	2160
734	5969	2152
735	5977	2144
736	5985	2136
737	5993	2127
738	6001	2119
739	6009	2111
740	6035	2109
741	6044	2101
742	6052	2093
743	6059	2085
744	6067	2076
745	6075	2068
746	6083	2060
747	6091	2052
748	6099	2044
749	6107	2035
750	6115	2027
751	6123	2019
752	6131	2011
753	6139	2003
754	6147	1994
755	6155	1986
756	6163	1978
757	6171	1970
758	6179	1962
759	6187	1954
760	6196	1945
761	6203	1937
762	6211	1929
763	6219	1921
764	6228	1913
765	6235	1904
766	6243	1896
767	6251	1888
768	6259	1880
769	6268	1872
770	6276	1864
771	6284	1855
772	6292	1847
773	6300	1839
774	6308	1831
775	6316	1823
776	6324	1815
777	6332	1807
778	6340	1798
779	6348	1790
780	6356	1782
781	6364	1774
782	6372	1766
783	6381	1758
784	6389	1749
785	6397	1741
786	6405	1733
787	6413	1725
788	6421	1717
789	6429	1709
790	6438	1701
791	6445	1692
792	6453	1684
793	6462	1676
794	6470	1668
795	6478	1660
796	6486	1652
797	6494	1644
798	6502	1635
799	6510	1627
800	6519	1619
801	6527	1611
802	6535	1603
803	6543	1595
804	6551	1586
805	6559	1578
806	6567	1570
807	6575	1562
808	6583	1554
809	6591	1546
810	6600	1538
811	6608	1529
812	6616	1521
813	6624	1513
814	6632	1505
815	6640	1497
816	6648	1489
817	6656	1481
818	6665	1472
819	6672	1464
820	6680	1456
821	6689	1448
822	6697	1440
823	6705	1432
824	6713	1424
825	6721	1415
826	6729	1407
827	6737	1399
828	6745	1391
829	6753	1383
830	6761	1375
831	6769	1366
832	6776	1358
833	6784	1350
834	6792	1342
835	6801	1334
836	6809	1326
837	6817	1317
838	6824	1309
839	6832	1301
840	6841	1293
841	6849	1285
842	6856	1277
843	6865	1268
844	6873	1260
845	6881	1252
846	6889	1244
847	6897	1236
848	6905	1228
849	6913	1219
850	6921	1211
851	6929	1203
852	6937	1195
853	6945	1187
854	6953	1179
855	6962	1171
856	6970	1163
857	6978	1154
858	6986	1146
859	6994	1138
860	7003	1130
861	7011	1122
862	7019	1114
863	7047	1109
864	7055	1101
865	7063	1093
866	7071	1084
867	7080	1076
868	7088	1068
869	7096	1060
870	7105	1052
871	7113	1044
872	7121	1035
873	7129	1027
874	7137	1019
875	7145	1011
876	7154	1003
877	7162	995
878	7170	987
879	7178	978
880	7187	970
881	7194	962
882	7202	954
883	7211	946
884	7219	938
885	7227	929
886	7235	921
887	7243	913
888	7251	905
889	7259	897
890	7267	889
891	7275	880
892	7283	872
893	7291	864
894	7300	856
895	7308	848
896	7316	840
897	7324	831
898	7332	823
899	7340	815
900	7349	807
901	7357	799
902	7365	791
903	7373	782
904	7381	774
905	7388	766
906	7396	758
907	7405	750
908	7412	742
909	7420	733
910	7428	725
911	7436	717
912	7444	709
913	7453	701
914	7461	693
915	7469	684
916	7477	676
917	7485	668
918	7493	660
919	7501	652
920	7509	644
921	7518	636
922	7527	627
923	7535	619
924	7544	611
925	7552	603
926	7560	595
927	7569	587
928	7577	579
929	7585	570
930	7594	562
931	7602	554
932	7611	546
933	7619	538
934	7628	530
935	7636	522
936	7644	513
937	7653	505
938	7661	497
939	7669	489
940	7678	481
941	7686	473
942	7694	465
943	7702	456
944	7711	448
945	7718	440
946	7726	432
947	7734	424
948	7742	416
949	7750	407
950	7758	399
951	7767	391
952	7775	383
953	7783	375
954	7791	367
955	7799	358
956	7808	350
957	7816	342
958	7824	334
959	7832	326
960	7840	318
961	7848	310
962	7856	301
963	7864	293
964	7872	285
965	7880	277
966	7888	269
967	7896	261
968	7904	252
969	7912	244
970	7920	236
971	7928	228
972	7937	220
973	7945	212
974	7953	203
975	7961	195
976	7969	187
977	7978	179
978	7986	171
979	7993	163
980	8002	154
981	8010	146
982	8018	138
983	8026	130
984	8034	122
985	8042	114
986	8078	106
987	8086	98
988	8094	90
989	8102	81
990	8110	73
991	8118	65
992	8127	57
993	8134	49
994	8142	40
995	8150	32
996	8158	24
997	8166	16
998	8174	8
999	8182	0
